CD_MUN,lp_adequado,mt_adequado,lp_insuficiente,lp_basico,lp_proficiente,lp_avancado,mt_insuficiente,mt_basico,mt_proficiente,mt_avancado,ideb
3505807,0.3493,0.0159,0.2581,0.3926,0.3437,0.0056,0.534,0.45,0.0159,0.0,4.5
3505807,0.3493,0.0159,0.2581,0.3926,0.3437,0.0056,0.534,0.45,0.0159,0.0,4.5
3505906,0.4487,0.0847,0.1987,0.3526,0.4243,0.0244,0.3982,0.5172,0.0794,0.0053,4.7
3505906,0.4487,0.0847,0.1987,0.3526,0.4243,0.0244,0.3982,0.5172,0.0794,0.0053,4.7
3506003,0.4126,0.0699,0.2654,0.322,0.3951,0.0175,0.4934,0.4367,0.0653,0.0046,4.5
3506003,0.4126,0.0699,0.2654,0.322,0.3951,0.0175,0.4934,0.4367,0.0653,0.0046,4.5
3506102,0.3783,0.0793,0.2864,0.3354,0.3676,0.0107,0.5016,0.4192,0.0793,0.0,4.6
3506102,0.3783,0.0793,0.2864,0.3354,0.3676,0.0107,0.5016,0.4192,0.0793,0.0,4.6
3506201,0.3571,0.0714,0.25,0.3929,0.3214,0.0357,0.5357,0.3928,0.0714,0.0,4.8
3506201,0.3571,0.0714,0.25,0.3929,0.3214,0.0357,0.5357,0.3928,0.0714,0.0,4.8
3506300,,,,,,,,,,,
3506300,,,,,,,,,,,
3506359,0.2906,0.0298,0.3293,0.3801,0.2856,0.005,0.6111,0.3592,0.0298,0.0,4.0
3506359,0.2906,0.0298,0.3293,0.3801,0.2856,0.005,0.6111,0.3592,0.0298,0.0,4.0
3506409,0.3753,0.156,0.3461,0.2785,0.3562,0.0191,0.4596,0.3844,0.156,0.0,4.6
3506409,0.3753,0.156,0.3461,0.2785,0.3562,0.0191,0.4596,0.3844,0.156,0.0,4.6
3506508,0.4278,0.0767,0.2362,0.3359,0.4144,0.0134,0.4219,0.5014,0.0679,0.0088,
3506508,0.4278,0.0767,0.2362,0.3359,0.4144,0.0134,0.4219,0.5014,0.0679,0.0088,4.8
3506508,0.4278,0.0767,0.2362,0.3359,0.4144,0.0134,0.4219,0.5014,0.0679,0.0088,4.9
